"","Brewery","City","Year.Founded","Address","Latitude","Longitude","Postal.Code","Ratebeer","Untappd","S_untappd"
"116","FARNHAM ALE & LAGER","FARNHAM","2013","401, BOULEVARD DE NORMANDIE NORD",45.283091,-72.974744,"J2N 1W5 ","http://www.ratebeer.com/brewers/farnham-ale-lager/17425/","https://untappd.com/Farnham-AleLager",3.53
"117","BRASSERIE DE LA CONTRÉE DE BELLECHASSE","NOTRE-DAME-AUXILIATRICE-DE-BUCKLAND ","2013","2020, RUE DE L'ÉGLISE ",46.619096,-70.545584,"G0R 1G0 ","http://www.ratebeer.com/brewers/microbrasserie-de-bellechasse/17946/","https://untappd.com/w/microbrasserie-de-bellechasse/97295",3.38
"118","GAINSBOURG ","GATINEAU","2013","9, RUE AUBRY ",45.426855,-75.71566," J8X 2H1 ","http://www.ratebeer.com/brewers/gainsbourg/15991/","https://untappd.com/gainsbourg",3.76
"119","BRASSERIE GÉNÉRALE","QUÉBEC ","2013","400, RUE DU PLATINE ",46.890007,-71.318715,"G2N 2G6 ","http://www.ratebeer.com/brewers/brasserie-generale/18455/","https://untappd.com/BGenerale",3.49
"120","BRASSERIE DU CANAL ","MONTRÉAL","2013","3810-1A, RUE SAINT-PATRICK",45.522451,-73.591283,"H4E 1A4 ","http://www.ratebeer.com/brewers/brasserie-du-canal/27234/","https://untappd.com/w/benelux-brasserie-artisanale/4092",3.72
"121","LE VIGNOBLE LES VENTS D'ANGES","SAINT-JOSEPH-DU-LAC ","1996","839, CHEMIN PRINCIPAL ",45.520551,-73.987993,"J0N 1M0 ","?","https://untappd.com/w/les-vents-dange/188705",3.38
"122","MICROBRASSERIE GOUDALE ","BOISBRIAND ","2005","4535, BOULEVARD DE LA GRANDE-ALLÉE ",45.612679,-73.838287,"J7H 1M8 ","http://www.ratebeer.com/brewers/microbrasserie-goudale/15692/","https://untappd.com/w/microbrasserie-goudale/47035",3.37
"123","LOUP ROUGE MICRO BRASSEUR","SOREL-TRACY ","2007","44, RUE DU PRINCE ",46.045244,-73.114912,"J3P 4J6 ","http://www.ratebeer.com/brewers/loup-rouge-micro-brasseur/9114/","https://untappd.com/louprouge",3.63
"124","TÊTE D'ALLUMETTE MICROBRASSERIE","SAINT-ANDRÉ","2013","265, ROUTE 132 OUEST ",47.644675,-69.756595,"G0L 2H0 ","http://www.ratebeer.com/brewers/tete-dallumette-microbrasserie/17594/","https://untappd.com/TetedAllumette",3.74
"125","MICROBRASSERIE SAINT-PANCRACE","BAIE-COMEAU ","2013","55, PLACE LASALLE",49.216667,-68.150008,"G4Z 1J8 ","http://www.ratebeer.com/brewers/microbrasserie-st-pancrace/17608/","https://untappd.com/MicrobrasserieStPancrace",3.61
"126","MICROBRASSERIE LE PROSPECTEUR ","VAL-D'OR ","2014","585, 3E AVENUE ",48.100803,-77.782645,"J9P 1S6 ","http://www.ratebeer.com/brewers/microbrasserie-le-prospecteur/19742/","https://untappd.com/LeProspecteur",3.95
"127","MICROBRASSERIE HOPERA ","JONQUIÈRE","2014","2377, RUE SAINT-DOMINIQUE ",48.364064,-71.284807,"G7X 6L4 ","http://www.ratebeer.com/brewers/hopera-microbrasserie-pizzeria/19716/","https://untappd.com/w/hopera/136868",3.58
"128","SIBOIRE JACQUES-CARTIER","SHERBROOKE ","2014","40, BOULEVARD JACQUES-CARTIER SUD ",45.397687,-71.91881,"J1J 2Z2 ","http://www.ratebeer.com/brewers/microbrasserie-siboire/9253/","https://untappd.com/w/siboire/36800",3.67
"129","LE BIEN, LE MALT ","RIMOUSKI ","2008","141, AVENUE BELZILE ",48.452587,-68.520244,"G5L 3E5 ","http://www.ratebeer.com/brewers/le-bien-le-malt/9466/","https://untappd.com/leBienleMalt",3.6
"130","MICROBRASSERIE LA MEMPHRÉ FABRIQUE À BIÈRE","MAGOG ","1999","2125, RUE TANGUAY ",45.279899,-72.120906,"J1X 5Y5 ","http://www.ratebeer.com/brewers/microbrasserie-la-memphre/3872/","https://untappd.com/MicrobrasserieMemphre",3.78
"131","BRASSERIE SAINT-LUKE ","SAINT-HYACINTHE ","2000","5420, RUE MARTINEAU ",45.627321,-72.940305,"J2R 1T8 ","http://www.ratebeer.com/brewers/brasserie-saint-luke/27852/","https://untappd.com/w/la-brasserie-saint-luke/222518",3.2
"132","MICROBRASSERIE MOULIN 7","ASBESTOS ","2014","294, BOULEVARD SAINT-LUC ",45.775337,-71.937985,"J1T 2W1 ","http://www.ratebeer.com/brewers/moulin-7-microbrasserie/20549/","https://untappd.com/w/microbrasserie-moulin-7/152734",3.64
"133","L'ESPRIT DE CLOCHER ","NEUVILLE ","2015","287, RUE DES ÉRABLES ",46.713146,-71.557084,"G0A 2R0 ","http://www.ratebeer.com/brewers/microbrasserie-lesprit-de-clocher/23494/","https://untappd.com/w/l-esprit-de-clocher/206809",3.5
"134","MICROBRASSERIE LE BARIL ROULANT","VAL-DAVID ","2012","1652, ROUTE 117 ",46.032581,-74.20392,"J0T 2N0 ","http://www.ratebeer.com/brewers/micro-brasserie-le-baril-roulant/15519/","https://untappd.com/BarilRoulant",3.59
"135","RAS L'BOCK","SAINT-JEAN-PORT-JOLI ","2015","B-4, CHEMIN DU ROY EST ",47.21474,-70.269026,"G0R 3G0 ","http://www.ratebeer.com/brewers/ras-lbock/23012/","https://untappd.com/RasLBock12345",3.84
"136","MICROBRASSERIE LA PÉCHERESSE ","LA TUQUE ","2015","355, RUE SAINT-ZÉPHIRIN ",47.431096,-72.782109,"G9X 1X3 ","http://www.ratebeer.com/brewers/la-pecheresse/25857/","https://untappd.com/architects777",3.7
"137","BISHOP'S UNIVERSITY","SHERBROOKE ","2015","2600, RUE COLLÈGE ",45.365616,-71.84779,"J1M 1Z7 ","?","https://untappd.com/w/bishop-s-arches-brewery/271136",NA
"138","BRASSERIE AUVAL BREWING CO.","PERCÉ ","2015","397, ROUTE DES PÈRES ",48.524728,-64.212237,"G0C 3G0","http://www.ratebeer.com/brewers/brasserie-auval-brewing-co/24096/","https://untappd.com/BrasserieAuvalBrewingco",4.17
"139","BRASSEURS DE L'OUTAOUAIS","GATINEAU ","2015","332-3, CHEMIN INDUSTRIEL ",45.521402,-75.532113,"J8R 3N9","http://www.ratebeer.com/brewers/brasseurs-de-loutaouais/23918/","https://untappd.com/w/brasseurs-de-loutaouais/191479",1.99
"140","MICROBRASSERIE LE BOCKALE","DRUMMONDVILLE","2015","2400, RUE CANADIEN, suite 201",45.882696,-72.543836,"J2C 7W3","http://www.ratebeer.com/brewers/microbrasserie-le-bockale/22692/","https://untappd.com/MicrobrasserieLeBockAle",3.52
"141","MABRASSERIE COOP DE SOLIDARITÉ BRASSICOLE","MONTRÉAL ","2015","2300, RUE HOLT",45.549755,-73.580449,"H2G 1Y4","http://www.ratebeer.com/brewers/mabrasserie/25111/","https://untappd.com/MABRASSERIE",3.79
"142","LA CHASSE-PINTE","L'ANSE-SAINT-JEAN","2015","220, RUE SAINT-JEAN-BAPTISTE",48.225605,-70.22863,"G0V 1J0","http://www.ratebeer.com/brewers/microbrasserie-la-chasse-pinte/26482/","https://untappd.com/w/brasserie-cooperative-la-chassepinte/240191",3.47
"143","MICROBRASSERIE LE MALTBORD","SAINTE-ANNE-DES-MONTS","2014","178, 1ÈRE AVENUE OUEST",49.127448,-66.496354,"G4V 1C9","http://www.ratebeer.com/brewers/le-malbord/24104/","https://untappd.com/w/microbrasserie-le-malbord/177331",3.52
"144","MICROBRASSERIE RIVERBEND","ALMA","2016","945, AVENUE SICARD",48.56897,-71.6508,"G8B 7R5","http://www.ratebeer.com/brewers/microbrasserie-riverbend/25351/","https://untappd.com/w/microbrasserie-riverbend/240502",3.57
"145","AUBERGE SUTTON BROUËRIE","SUTTON","2015","27, RUE PRINCIPALE SUD",45.112625,-72.617367,"J0E 2K0","http://www.ratebeer.com/brewers/sutton-brouerie/24791/","https://untappd.com/AubergeSuttonBrouerie",3.76
"146","BRASSERIE VROODEN","GRANBY ","2016","617, RUE SIMONDS SUD",45.39226,-72.7576,"J2J 1C1","http://www.ratebeer.com/brewers/brasserie-vrooden/26630/","https://untappd.com/w/brasserie-vrooden-brewery/268357",3.6
"147","MICRO-BRASSERIE LE GRIMOIRE","GRAMBY","2016","1546, RUE PRINCIPALE",45.42498,-72.8072,"J2J 0S6","http://www.ratebeer.com/brewers/le-grimoire-microbrasserie/5450/","https://untappd.com/w/microbrasserie-le-grimoire/14185",3.32
"148","BRASSERIE ET DISTILLERIE OSHLAG","MONTRÉAL","2016","2350, RUE DICKSON, LOCAL 1400",45.56727,-73.5374,"H1N 3T1 ","http://www.ratebeer.com/brewers/oshlag-brasserie-distillerie/23374/","https://untappd.com/w/oshlag-brasserie-distillerie/68489",3.69
"149","LE SECRET DES DIEUX","PEHENEGAMOOK","2016","1252, CHEMIN GUÉRETTE",47.46119,-69.2245,"G0L 1J0","http://www.ratebeer.com/brewers/le-secret-des-dieux/27365/","https://untappd.com/w/le-secret-des-dieux/273741",3.61
"150","LES BRASSEURS DE MONTEBELLO","MONTEBELLO","2014","237-A RUE SAINT-CHARLES",45.652137,-74.945665,"J0V 1L0","http://www.ratebeer.com/brewers/brasseurs-de-montebello/19877/","https://untappd.com/w/les-brasseurs-de-montebello/133837",3.37
